A,B
1,0
-2.137651825,-0.004217947
1.863003037,-0.008780624
-0.806745879,0.0056366
0.19006283,-0.000173552
-0.013475488,-0.000567238
,-0.005589328
,0.003036964
,0.021741192
,0.078469664
,-0.029291679
