A,B
1,0
-2.158249476,-0.006855981
1.815187391,-0.007706878
-0.670240295,-0.000896709
0.092600862,0.003763374
-0.024067159,-0.000163169
-0.030477315,-0.00062885
0.224484669,0.019591075
-0.310347303,0.032088271
0.249607237,
-0.105176084,
-0.031316506,
0.042628579,
