A,B
1,0
-1.049303977,-0.030281164
-0.067358244,-0.017401507
0.21589874,-0.008579992
0.110257247,0.004085618
-0.007555474,0.010443968
-0.019072516,0.006931493
0.021971126,0.030039126
0.026750771,0.067932764
0.010219919,
-0.026593273,
-0.041757284,
0.036779852,
