%time,field
1662626184430665270,-0.0
1662626184434618473,-0.0
1662626184442625279,-0.0
1662626184450690190,0.05623617768287659
1662626184458739505,0.1280933976173401
1662626184466667023,0.2071640729904175
1662626184474602734,0.29339275360107425
1662626184482594287,0.386807131767273
1662626184490580373,0.4802215099334717
1662626184498503446,0.5592921733856201
1662626184506685363,0.6311493873596192
1662626184510652329,0.6886352062225343
1662626184518788080,0.7389352321624756
1662626184526726532,0.7676781177520753
1662626184534701251,0.7892353057861329
1662626184542684948,0.7964210033416749
1662626184550634180,0.8
1662626185414750348,0.8
1662626185422665377,0.8
1662626185438688000,0.8
1662626185454660267,0.8
1662626185470647677,0.7389352321624756
1662626185478626857,0.710192346572876
1662626185486598910,0.6598923206329346
1662626185494668527,0.5952208042144775
1662626185502616066,0.5161778450012208
1662626185510630789,0.4227357387542725
1662626185518626311,0.31494991779327397
1662626185522602519,0.2215355157852173
1662626185530644033,0.1280933976173401
1662626185538585050,0.049050459265708925
1662626185546700378,-0.0
1662626185554706382,-0.0
1662626185562596486,-0.0
1662626185566544413,-0.0
1662626185650659867,-0.0
1662626185654609438,-0.0
1662626185662572236,-0.0
1662626185670660832,-0.0
1662626185678646802,-0.0
1662626185686623627,-0.013066361844539643
1662626185694615686,-0.07055213451385499
1662626185702633311,-0.1352236270904541
1662626185710727244,-0.22148003578186037
1662626185718525608,-0.3148944139480591
1662626185722577816,-0.41549453735351566
1662626185730765302,-0.5017231941223145
1662626185738542445,-0.5879796028137207
1662626185746587739,-0.6598368167877198
1662626185754689826,-0.717322587966919
1662626185762678581,-0.7604369163513184
1662626185770778083,-0.79636549949646
1662626185778587105,-0.8
1662626186894530240,-0.7316940307617188
1662626186902654428,-0.7029511451721192
1662626186910609466,-0.6598368167877198
1662626186918565413,-0.6167224884033203
1662626186926576617,-0.5736081600189209
1662626186934603677,-0.5304938316345215
1662626186942555565,-0.4873517513275147
1662626186950652473,-0.43705167770385744
1662626186954478062,-0.393937349319458
1662626186962707378,-0.3436372995376587
1662626186970600212,-0.2933372497558594
1662626186978554723,-0.24303719997406006
1662626186986575872,-0.18552368879318237
1662626186994664137,-0.1280379056930542
1662626187002645622,-0.07055213451385499
1662626187010554279,-0.020252083241939545
1662626187014662341,-0.0
1662626187022658738,-0.0
1662626187030687557,-0.0
1662626187038812508,-0.0
1662626187046605131,-0.0
1662626187054633760,-0.0
1662626187170701319,-0.0
1662626187178641573,-0.0
1662626187186657871,-0.0
1662626187194742219,-0.0
1662626187202581713,0.020307570695877075
1662626187210571232,0.09216479063034058
1662626187214681908,0.18557916879653932
1662626187222687492,0.29339275360107425
1662626187230646116,0.40117855072021485
1662626187238658546,0.5018064022064209
1662626187246619016,0.5880350589752198
1662626187254609588,0.6670780181884766
1662626187262587232,0.7317495346069336
1662626187266526287,0.7317495346069336
1662626187270438816,0.774863862991333
1662626187274686156,0.774863862991333
1662626187278667295,0.7964210033416749
1662626187282613615,0.7964210033416749
1662626187286536177,0.8
1662626188338677449,0.7389352321624756
1662626188346656727,0.710192346572876
1662626188354719322,0.6670780181884766
1662626188362606131,0.6167779445648194
1662626188370655656,0.5592921733856201
1662626188378645489,0.49459295272827153
1662626188386654894,0.41554999351501465
1662626188394675357,0.33650708198547363
1662626188398607265,0.24309267997741701
1662626188406608683,0.1640220046043396
1662626188414659757,0.08497906923294068
1662626188422651404,0.020307570695877075
1662626188430622218,-0.0
1662626188438594058,-0.0
1662626188446724866,-0.0
1662626188450566644,-0.0
1662626188538604002,-0.0
1662626188546725057,-0.0
1662626188554678438,-0.0
1662626188562623034,-0.0
1662626188570644509,-0.0
1662626188578619349,-0.05618069171905518
1662626188586644059,-0.142409348487854
1662626188594654103,-0.25022292137145996
1662626188598568647,-0.3651944637298584
1662626188606609741,-0.46579456329345703
1662626188614688101,-0.5664224147796632
1662626188622642868,-0.6454653739929199
1662626188630756470,-0.717322587966919
1662626188638729014,-0.7676226139068604
1662626188646542802,-0.8
1662626189778659067,-0.7029511451721192
1662626189786676114,-0.6454653739929199
1662626189794600676,-0.5664224147796632
1662626189802498808,-0.46579456329345703
1662626189810675566,-0.3508230209350586
1662626189818694255,-0.24303719997406006
1662626189822559548,-0.14959506988525392
1662626189830685945,-0.06336641311645508
1662626189838672226,-0.0
1662626189846454085,-0.0
1662626189854757535,-0.0
1662626189862709800,-0.0
1662626189962611903,-0.0
1662626189970735527,-0.0
1662626189978527098,-0.0
1662626189986799581,-0.0
1662626189994606865,0.0634218990802765
1662626190002496858,0.1424648404121399
1662626190010592744,0.2502784013748169
1662626190018665686,0.35806424617767335
1662626190022507979,0.4586643218994141
1662626190030633072,0.5521064758300781
1662626190038543385,0.638335132598877
1662626190046573610,0.703006649017334
1662626190054729640,0.7604924201965333
1662626190062559786,0.7892353057861329
1662626190070589406,0.8
1662626191002591040,0.7461209774017334
1662626191010567875,0.7173780918121339
1662626191018598243,0.6814494609832764
1662626191026575461,0.6311493873596192
1662626191034710890,0.5592921733856201
1662626191042604563,0.4730357646942139
1662626191046585068,0.3652499675750733
1662626191054604703,0.26464984416961673
1662626191062635264,0.1712077260017395
1662626191070600747,0.09216479063034058
1662626191078496899,0.013121849298477173
1662626191086628398,-0.0
1662626191094547358,-0.0
1662626191098519548,-0.0
1662626191158549445,-0.0
1662626191166581924,-0.0
1662626191174643850,-0.0
1662626191182636748,-0.0
1662626191190599433,-0.0
1662626191194456689,-0.07055213451385499
1662626191202581697,-0.15678079128265382
1662626191210691370,-0.26459436416625975
1662626191218665549,-0.3795659065246582
1662626191226684790,-0.4873517513275147
1662626191234654364,-0.5807938575744629
1662626191242593794,-0.6598368167877198
1662626191250661379,-0.7245082855224609
1662626191258607209,-0.7748083591461182
1662626191262626091,-0.8
1662626192806614178,-0.6885797023773194
1662626192814632892,-0.6023510456085206
1662626192818526591,-0.4873517513275147
1662626192826604479,-0.37238018512725835
1662626192834704409,-0.2574086427688599
1662626192842506440,-0.142409348487854
1662626192850603592,-0.04899497032165528
1662626192858580062,-0.0
1662626192866496510,-0.0
1662626192870554675,-0.0
1662626192878564899,-0.0
1662626192886502822,0.049050459265708925
1662626192894626035,0.1280933976173401
1662626192902622030,0.2287212371826172
1662626192910624310,0.34369280338287356
1662626192918574383,0.4514786243438721
1662626192926804354,0.5449207305908204
1662626192934690671,0.6311493873596192
1662626192942652427,0.703006649017334
1662626192950667956,0.7533066749572754
1662626192958720603,0.782049560546875
1662626192962588795,0.8
1662626193726748263,0.7317495346069336
1662626193734708755,0.6814494609832764
1662626193742604638,0.6024065017700195
1662626193746545561,0.5089921474456788
1662626193754748140,0.39399285316467286
1662626193762638459,0.2862070322036743
1662626193770606503,0.17839344739913943
1662626193778645873,0.08497906923294068
1662626193786634270,0.005936127528548241
1662626193794693324,-0.0
1662626193798550201,-0.0
1662626193806602915,-0.0
1662626193838610475,-0.0
1662626193846563864,-0.0
1662626193854617884,-0.0
1662626193858512010,-0.0
1662626193866476267,-0.09210929870605469
1662626193874691741,-0.20710859298706055
1662626193882606515,-0.322080135345459
1662626193890591132,-0.43705167770385744
1662626193898607382,-0.5520509719848633
1662626193906650296,-0.6526510715484619
1662626193914714968,-0.7316940307617188
1662626193918568627,-0.789179801940918
1662626193926599951,-0.8
1662626194038674564,-0.7388797283172608
1662626194046554971,-0.6598368167877198
1662626194054660364,-0.5448652744293213
1662626194062611148,-0.42986598014831545
1662626194070677980,-0.3148944139480591
1662626194078554440,-0.18552368879318237
1662626194082565280,-0.04899497032165528
1662626194090587130,-0.0
1662626194098464274,0.020307570695877075
1662626194106445551,0.1712077260017395
1662626194114575713,0.2862070322036743
1662626194122597366,0.40117855072021485
1662626194130606794,0.5161778450012208
1662626194138626305,0.6167779445648194
1662626194146649278,0.710192346572876
1662626194154536903,0.7676781177520753
1662626194158579884,0.8
1662626194310646342,0.7389352321624756
1662626194318578641,0.6598923206329346
1662626194326548210,0.5449207305908204
1662626194334585950,0.4299214363098145
1662626194338451614,0.31494991779327397
1662626194346603844,0.19276489019393922
1662626194354624662,0.05623617768287659
1662626194362614718,-0.0
1662626194370624379,-0.04899497032165528
1662626194378608638,-0.19992287158966066
1662626194386632327,-0.3148944139480591
1662626194394607975,-0.42986598014831545
1662626194398462027,-0.5448652744293213
1662626194406468747,-0.6526510715484619
1662626194414593012,-0.7388797283172608
1662626194422616541,-0.79636549949646
1662626194430444273,-0.8
1662626194550603922,-0.717322587966919
1662626194558602645,-0.6382796287536622
1662626194562499944,-0.5233080863952637
1662626194570679326,-0.40830879211425786
1662626194578547567,-0.2933372497558594
1662626194586578697,-0.16396651268005372
